epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.736,1.53762,2.58838,1.39777,0.50557,0.58207,0.51388,0.27425,1.50173,1.92297,1.58917,0.000412186,0.000412186,0.000412186
2,121.556,1.65726,1.81026,1.52358,0.21484,0.36448,0.15372,0.04546,2.3622,22.452,3.32205,0.000801501,0.000801501,0.000801501
3,181.127,1.71695,1.7535,1.55839,0.65567,0.29508,0.34582,0.17659,1.79292,6.74166,1.81751,0.00116332,0.00116332,0.00116332
4,239.681,1.66849,1.67287,1.54047,0.6426,0.50954,0.58092,0.2865,1.69773,2.79214,1.69289,0.00112625,0.00112625,0.00112625
5,299.072,1.64092,1.58677,1.5329,0.53316,0.58992,0.61252,0.30347,1.5769,2.04459,1.59499,0.001085,0.001085,0.001085
6,361.153,1.59948,1.4644,1.48039,0.77024,0.71269,0.79522,0.43434,1.55381,1.26096,1.50151,0.00104375,0.00104375,0.00104375
7,423.961,1.53014,1.3065,1.43712,0.79089,0.79705,0.85798,0.47268,1.4952,1.1041,1.47213,0.0010025,0.0010025,0.0010025
8,482.652,1.50062,1.25209,1.41387,0.74384,0.73287,0.80988,0.4412,1.51969,1.28422,1.44211,0.00096125,0.00096125,0.00096125
9,538.583,1.4741,1.19308,1.40017,0.80861,0.76736,0.87375,0.5102,1.40025,1.07014,1.39087,0.00092,0.00092,0.00092
10,596.699,1.44874,1.14174,1.39735,0.87536,0.84182,0.90715,0.51504,1.43348,0.94698,1.41852,0.00087875,0.00087875,0.00087875
11,655.03,1.45701,1.10748,1.38237,0.83663,0.78772,0.89729,0.51829,1.4306,0.97939,1.40958,0.0008375,0.0008375,0.0008375
12,710.562,1.38932,1.04901,1.35743,0.86584,0.8667,0.92084,0.53583,1.39753,0.87568,1.36752,0.00079625,0.00079625,0.00079625
13,767.928,1.38163,1.03344,1.35854,0.91718,0.84182,0.92327,0.54741,1.38567,0.847,1.35078,0.000755,0.000755,0.000755
14,824.007,1.3807,0.99197,1.35314,0.93022,0.88708,0.9484,0.56931,1.34353,0.77083,1.36221,0.00071375,0.00071375,0.00071375
15,879.671,1.35943,0.99222,1.32438,0.87986,0.84773,0.91886,0.54935,1.35154,0.83649,1.379,0.0006725,0.0006725,0.0006725
16,935.537,1.33354,0.9509,1.31137,0.93147,0.87646,0.9444,0.58374,1.27115,0.75809,1.32178,0.00063125,0.00063125,0.00063125
17,992.425,1.31745,0.90815,1.30015,0.92678,0.87041,0.94654,0.57156,1.28357,0.75081,1.34429,0.00059,0.00059,0.00059
18,1047.77,1.32594,0.89801,1.3005,0.90646,0.88368,0.94533,0.59255,1.26801,0.71561,1.29834,0.00054875,0.00054875,0.00054875
19,1104.34,1.27626,0.86393,1.28715,0.94836,0.89417,0.95625,0.60835,1.25898,0.6929,1.29672,0.0005075,0.0005075,0.0005075
20,1159.63,1.25998,0.83388,1.25582,0.92436,0.89666,0.95967,0.61338,1.24978,0.65384,1.2755,0.00046625,0.00046625,0.00046625
21,1219.26,1.22264,0.71212,1.27977,0.90827,0.86294,0.9436,0.59244,1.24258,0.71971,1.29686,0.000425,0.000425,0.000425
22,1275.5,1.1853,0.69241,1.25644,0.93028,0.89258,0.95527,0.62531,1.21156,0.66187,1.26813,0.00038375,0.00038375,0.00038375
23,1334.88,1.17493,0.65184,1.23795,0.95276,0.89302,0.96237,0.62763,1.21184,0.64413,1.27313,0.0003425,0.0003425,0.0003425
24,1394.26,1.1186,0.62844,1.22896,0.94712,0.8971,0.96499,0.63687,1.18908,0.61794,1.25707,0.00030125,0.00030125,0.00030125
25,1453.19,1.11053,0.62929,1.21236,0.93956,0.90556,0.96772,0.64411,1.17236,0.60326,1.2446,0.00026,0.00026,0.00026
26,1509.66,1.09164,0.59744,1.20366,0.9519,0.91646,0.96998,0.63169,1.18842,0.615,1.25121,0.00021875,0.00021875,0.00021875
27,1568.59,1.08423,0.58118,1.18409,0.94315,0.91274,0.9679,0.64994,1.15949,0.57619,1.22828,0.0001775,0.0001775,0.0001775
28,1625.54,1.0554,0.56016,1.17504,0.96082,0.92407,0.97568,0.66009,1.15033,0.56111,1.20839,0.00013625,0.00013625,0.00013625
29,1680.68,1.02924,0.54157,1.14915,0.95763,0.92091,0.97433,0.6598,1.14485,0.55686,1.22999,9.5e-05,9.5e-05,9.5e-05
30,1738.8,1.01274,0.52781,1.14477,0.95965,0.93225,0.97789,0.6647,1.13262,0.54056,1.21387,5.375e-05,5.375e-05,5.375e-05
