filename,filepath,width,height,depth,label,xmin,ymin,xmax,ymax
img_0028,train/images/img_0028.jpg,640,640,3,Jett,292,283,384,445
img_1336,train/images/img_1336.jpg,640,640,3,Jett,374,292,397,366
img_0996,train/images/img_0996.jpg,640,640,3,Phoenix,294,304,307,349
img_0996,train/images/img_0996.jpg,640,640,3,Jett,250,245,267,289
img_2159,train/images/img_2159.jpg,640,640,3,Phoenix,94,109,281,639
img_2159,train/images/img_2159.jpg,640,640,3,Sage,434,358,454,396
img_0982,train/images/img_0982.jpg,640,640,3,Phoenix,267,316,306,462
img_1444,train/images/img_1444.jpg,640,640,3,Sage,307,304,328,387
img_1322,train/images/img_1322.jpg,640,640,3,Jett,368,65,444,270
img_0014,train/images/img_0014.jpg,640,640,3,Phoenix,292,289,338,400
img_0014,train/images/img_0014.jpg,640,640,3,Jett,8,122,39,205
img_2165,train/images/img_2165.jpg,640,640,3,Jett,322,126,409,493
img_2165,train/images/img_2165.jpg,640,640,3,Brimstone,152,172,194,257
img_0772,train/images/img_0772.jpg,640,640,3,Phoenix,456,227,633,512
img_0772,train/images/img_0772.jpg,640,640,3,Jett,259,301,301,454
img_1478,train/images/img_1478.jpg,640,640,3,Brimstone,247,0,447,618
img_2171,train/images/img_2171.jpg,640,640,3,Jett,277,225,312,365
img_2171,train/images/img_2171.jpg,640,640,3,Brimstone,0,212,122,639
img_2617,train/images/img_2617.jpg,640,640,3,Phoenix,275,208,307,339
img_2824,train/images/img_2824.jpg,640,640,3,Phoenix,200,268,263,500
img_0955,train/images/img_0955.jpg,640,640,3,Jett,360,246,441,544
img_1493,train/images/img_1493.jpg,640,640,3,Jett,322,143,422,524
img_1493,train/images/img_1493.jpg,640,640,3,Brimstone,143,186,177,297
img_0799,train/images/img_0799.jpg,640,640,3,Jett,479,375,502,422
img_0941,train/images/img_0941.jpg,640,640,3,Jett,478,232,639,520
img_1487,train/images/img_1487.jpg,640,640,3,Brimstone,350,54,461,475
img_2818,train/images/img_2818.jpg,640,640,3,Phoenix,218,265,247,379
img_0969,train/images/img_0969.jpg,640,640,3,Phoenix,206,272,316,608
img_0969,train/images/img_0969.jpg,640,640,3,Jett,508,161,542,221
img_1652,train/images/img_1652.jpg,640,640,3,Sage,63,289,128,488
img_2429,train/images/img_2429.jpg,640,640,3,Brimstone,322,278,339,361
img_1120,train/images/img_1120.jpg,640,640,3,Brimstone,233,275,326,544
img_0558,train/images/img_0558.jpg,640,640,3,Phoenix,270,293,321,481
img_1646,train/images/img_1646.jpg,640,640,3,Brimstone,331,210,378,382
img_1646,train/images/img_1646.jpg,640,640,3,Jett,170,220,206,363
img_0570,train/images/img_0570.jpg,640,640,3,Jett,306,302,334,355
img_0570,train/images/img_0570.jpg,640,640,3,Phoenix,512,359,636,638
img_2367,train/images/img_2367.jpg,640,640,3,Sage,217,42,415,638
img_1108,train/images/img_1108.jpg,640,640,3,Sage,304,296,341,366
img_1108,train/images/img_1108.jpg,640,640,3,Jett,263,141,309,361
img_0216,train/images/img_0216.jpg,640,640,3,Phoenix,382,222,408,314
img_0202,train/images/img_0202.jpg,640,640,3,Jett,217,33,238,145
img_2415,train/images/img_2415.jpg,640,640,3,Jett,577,238,638,424
img_2415,train/images/img_2415.jpg,640,640,3,Sage,197,249,227,348
img_2373,train/images/img_2373.jpg,640,640,3,Jett,307,304,332,426
img_0564,train/images/img_0564.jpg,640,640,3,Phoenix,1,258,164,635
img_1691,train/images/img_1691.jpg,640,640,3,Jett,314,164,391,532
img_1691,train/images/img_1691.jpg,640,640,3,Brimstone,250,202,294,370
img_1849,train/images/img_1849.jpg,640,640,3,Jett,327,308,345,399
img_1685,train/images/img_1685.jpg,640,640,3,Brimstone,321,219,407,551
img_1875,train/images/img_1875.jpg,640,640,3,Sage,347,224,374,381
img_1875,train/images/img_1875.jpg,640,640,3,Jett,202,228,239,335
img_1861,train/images/img_1861.jpg,640,640,3,Brimstone,279,228,369,549
img_1726,train/images/img_1726.jpg,640,640,3,Brimstone,324,194,382,392
img_1726,train/images/img_1726.jpg,640,640,3,Jett,272,193,294,272
img_0438,train/images/img_0438.jpg,640,640,3,Jett,293,275,309,335
img_1040,train/images/img_1040.jpg,640,640,3,Phoenix,307,144,633,630
img_2549,train/images/img_2549.jpg,640,640,3,Phoenix,434,157,567,529
img_1054,train/images/img_1054.jpg,640,640,3,Jett,95,148,251,584
img_1732,train/images/img_1732.jpg,640,640,3,Sage,148,181,183,287
img_1732,train/images/img_1732.jpg,640,640,3,Phoenix,408,128,453,240
img_2213,train/images/img_2213.jpg,640,640,3,Jett,176,140,256,461
img_2213,train/images/img_2213.jpg,640,640,3,Phoenix,387,124,589,546
img_2575,train/images/img_2575.jpg,640,640,3,Phoenix,327,234,359,371
img_0362,train/images/img_0362.jpg,640,640,3,Sage,232,343,274,536
img_1068,train/images/img_1068.jpg,640,640,3,Jett,61,222,105,359
img_1068,train/images/img_1068.jpg,640,640,3,Phoenix,482,269,539,428
img_2561,train/images/img_2561.jpg,640,640,3,Phoenix,334,234,377,453
img_2207,train/images/img_2207.jpg,640,640,3,Jett,211,212,254,430
img_0410,train/images/img_0410.jpg,640,640,3,Jett,514,146,562,217
img_0410,train/images/img_0410.jpg,640,640,3,Phoenix,186,211,312,530
img_1083,train/images/img_1083.jpg,640,640,3,Phoenix,290,316,306,343
img_1083,train/images/img_1083.jpg,640,640,3,Jett,313,296,337,344
img_1929,train/images/img_1929.jpg,640,640,3,Jett,309,237,407,580
img_1915,train/images/img_1915.jpg,640,640,3,Sage,253,358,276,440
img_1915,train/images/img_1915.jpg,640,640,3,Jett,484,18,526,162
img_1524,train/images/img_1524.jpg,640,640,3,Jett,365,199,491,549
img_2039,train/images/img_2039.jpg,640,640,3,Jett,302,288,325,392
img_1530,train/images/img_1530.jpg,640,640,3,Brimstone,412,275,562,638
img_1530,train/images/img_1530.jpg,640,640,3,Jett,310,293,420,638
img_1256,train/images/img_1256.jpg,640,640,3,Jett,327,299,359,406
img_0148,train/images/img_0148.jpg,640,640,3,Jett,338,292,364,395
img_2777,train/images/img_2777.jpg,640,640,3,Phoenix,265,168,333,430
img_2011,train/images/img_2011.jpg,640,640,3,Sage,426,218,474,400
img_0606,train/images/img_0606.jpg,640,640,3,Sage,361,264,506,639
img_1518,train/images/img_1518.jpg,640,640,3,Sage,250,234,374,639
img_0612,train/images/img_0612.jpg,640,640,3,Sage,263,292,282,345
img_2005,train/images/img_2005.jpg,640,640,3,Jett,301,283,340,458
img_2763,train/images/img_2763.jpg,640,640,3,Phoenix,243,75,424,639
img_0174,train/images/img_0174.jpg,640,640,3,Jett,313,315,330,340
img_0174,train/images/img_0174.jpg,640,640,3,Phoenix,577,297,639,586
img_1281,train/images/img_1281.jpg,640,640,3,Jett,317,285,333,338
img_2788,train/images/img_2788.jpg,640,640,3,Phoenix,291,284,315,388
img_0821,train/images/img_0821.jpg,640,640,3,Jett,252,242,341,555
img_0835,train/images/img_0835.jpg,640,640,3,Phoenix,360,336,381,408
img_0835,train/images/img_0835.jpg,640,640,3,Jett,230,156,258,265
img_1295,train/images/img_1295.jpg,640,640,3,Brimstone,292,256,321,348
img_0809,train/images/img_0809.jpg,640,640,3,Jett,238,258,281,422
img_0834,train/images/img_0834.jpg,640,640,3,Brimstone,23,402,157,639
img_0834,train/images/img_0834.jpg,640,640,3,Sage,305,292,326,365
img_1294,train/images/img_1294.jpg,640,640,3,Sage,328,304,357,427
img_2789,train/images/img_2789.jpg,640,640,3,Phoenix,260,313,287,421
img_1280,train/images/img_1280.jpg,640,640,3,Brimstone,282,268,306,340
img_0820,train/images/img_0820.jpg,640,640,3,Jett,585,301,631,506
img_2004,train/images/img_2004.jpg,640,640,3,Brimstone,91,242,163,458
img_0613,train/images/img_0613.jpg,640,640,3,Sage,292,288,310,347
img_0175,train/images/img_0175.jpg,640,640,3,Phoenix,292,277,371,488
img_2762,train/images/img_2762.jpg,640,640,3,Phoenix,275,198,351,474
img_2776,train/images/img_2776.jpg,640,640,3,Phoenix,268,191,323,486
img_0161,train/images/img_0161.jpg,640,640,3,Phoenix,226,274,250,337
img_0161,train/images/img_0161.jpg,640,640,3,Jett,165,272,182,352
img_2010,train/images/img_2010.jpg,640,640,3,Jett,363,45,639,638
img_1531,train/images/img_1531.jpg,640,640,3,Brimstone,282,228,303,307
img_2038,train/images/img_2038.jpg,640,640,3,Sage,272,275,281,322
img_2038,train/images/img_2038.jpg,640,640,3,Jett,490,192,520,315
img_0149,train/images/img_0149.jpg,640,640,3,Phoenix,0,203,158,631
img_1257,train/images/img_1257.jpg,640,640,3,Sage,313,313,330,375
img_1243,train/images/img_1243.jpg,640,640,3,Brimstone,0,194,26,308
img_1525,train/images/img_1525.jpg,640,640,3,Sage,234,168,333,572
img_1914,train/images/img_1914.jpg,640,640,3,Sage,221,216,295,423
img_1914,train/images/img_1914.jpg,640,640,3,Phoenix,364,216,422,420
img_0388,train/images/img_0388.jpg,640,640,3,Brimstone,302,302,335,408
img_1096,train/images/img_1096.jpg,640,640,3,Sage,299,223,321,272
img_1096,train/images/img_1096.jpg,640,640,3,Jett,272,280,348,451
img_1928,train/images/img_1928.jpg,640,640,3,Jett,343,225,410,548
img_1082,train/images/img_1082.jpg,640,640,3,Sage,135,378,184,522
img_2560,train/images/img_2560.jpg,640,640,3,Phoenix,306,229,318,288
img_1069,train/images/img_1069.jpg,640,640,3,Brimstone,284,279,339,478
img_0377,train/images/img_0377.jpg,640,640,3,Phoenix,288,225,334,386
img_0411,train/images/img_0411.jpg,640,640,3,Phoenix,398,296,425,368
img_0411,train/images/img_0411.jpg,640,640,3,Jett,202,290,252,461
img_2206,train/images/img_2206.jpg,640,640,3,Jett,248,270,287,456
img_2212,train/images/img_2212.jpg,640,640,3,Jett,198,163,321,637
img_0405,train/images/img_0405.jpg,640,640,3,Phoenix,281,304,331,475
img_0363,train/images/img_0363.jpg,640,640,3,Phoenix,212,278,289,557
img_0363,train/images/img_0363.jpg,640,640,3,Jett,269,304,281,336
img_2574,train/images/img_2574.jpg,640,640,3,Phoenix,284,258,318,351
img_1055,train/images/img_1055.jpg,640,640,3,Jett,278,274,341,546
img_1733,train/images/img_1733.jpg,640,640,3,Brimstone,278,273,312,440
img_0439,train/images/img_0439.jpg,640,640,3,Phoenix,521,213,639,636
img_1727,train/images/img_1727.jpg,640,640,3,Jett,146,179,176,342
img_2548,train/images/img_2548.jpg,640,640,3,Phoenix,323,224,406,505
img_1041,train/images/img_1041.jpg,640,640,3,Jett,0,184,145,565
img_1860,train/images/img_1860.jpg,640,640,3,Brimstone,261,41,433,638
img_1874,train/images/img_1874.jpg,640,640,3,Jett,299,297,348,404
img_1684,train/images/img_1684.jpg,640,640,3,Jett,306,297,334,432
img_1848,train/images/img_1848.jpg,640,640,3,Jett,142,255,197,433
img_1848,train/images/img_1848.jpg,640,640,3,Sage,359,232,403,471
img_1690,train/images/img_1690.jpg,640,640,3,Sage,304,210,366,436
img_2414,train/images/img_2414.jpg,640,640,3,Sage,290,274,334,519
img_0565,train/images/img_0565.jpg,640,640,3,Phoenix,224,248,315,560
img_0565,train/images/img_0565.jpg,640,640,3,Jett,503,131,548,226
img_2372,train/images/img_2372.jpg,640,640,3,Brimstone,47,102,324,639
img_2366,train/images/img_2366.jpg,640,640,3,Brimstone,281,110,504,638
img_0217,train/images/img_0217.jpg,640,640,3,Jett,125,284,217,544
img_0217,train/images/img_0217.jpg,640,640,3,Phoenix,285,287,338,478
img_1109,train/images/img_1109.jpg,640,640,3,Sage,376,197,545,440
img_1109,train/images/img_1109.jpg,640,640,3,Jett,282,298,311,368
img_2400,train/images/img_2400.jpg,640,640,3,Sage,119,319,145,408
img_2400,train/images/img_2400.jpg,640,640,3,Phoenix,329,267,338,294
img_1121,train/images/img_1121.jpg,640,640,3,Phoenix,251,325,423,639
img_2428,train/images/img_2428.jpg,640,640,3,Brimstone,187,189,281,478
img_1647,train/images/img_1647.jpg,640,640,3,Jett,524,316,568,454
img_0559,train/images/img_0559.jpg,640,640,3,Brimstone,184,382,246,596
img_0559,train/images/img_0559.jpg,640,640,3,Sage,325,342,345,429
img_1653,train/images/img_1653.jpg,640,640,3,Brimstone,167,209,230,398
img_1653,train/images/img_1653.jpg,640,640,3,Jett,229,244,380,637
img_1135,train/images/img_1135.jpg,640,640,3,Sage,318,289,396,576
img_1135,train/images/img_1135.jpg,640,640,3,Brimstone,476,322,522,448
img_2819,train/images/img_2819.jpg,640,640,3,Phoenix,305,256,323,319
img_0968,train/images/img_0968.jpg,640,640,3,Phoenix,28,301,108,422
img_1486,train/images/img_1486.jpg,640,640,3,Brimstone,212,3,426,638
img_1486,train/images/img_1486.jpg,640,640,3,Jett,198,158,223,247
img_0940,train/images/img_0940.jpg,640,640,3,Phoenix,215,264,318,577
img_0940,train/images/img_0940.jpg,640,640,3,Jett,511,124,543,235
img_0798,train/images/img_0798.jpg,640,640,3,Sage,330,242,375,433
img_2825,train/images/img_2825.jpg,640,640,3,Phoenix,214,285,278,449
img_1492,train/images/img_1492.jpg,640,640,3,Brimstone,274,270,368,577
img_1492,train/images/img_1492.jpg,640,640,3,Jett,549,352,594,485
img_0954,train/images/img_0954.jpg,640,640,3,Sage,321,288,354,427
img_2170,train/images/img_2170.jpg,640,640,3,Sage,294,216,347,381
img_1479,train/images/img_1479.jpg,640,640,3,Jett,231,304,258,386
img_0001,train/images/img_0001.jpg,640,640,3,Jett,371,423,413,555
img_2616,train/images/img_2616.jpg,640,640,3,Phoenix,262,175,344,634
img_2602,train/images/img_2602.jpg,640,640,3,Phoenix,295,187,368,554
img_0015,train/images/img_0015.jpg,640,640,3,Sage,416,310,435,376
img_0773,train/images/img_0773.jpg,640,640,3,Brimstone,232,285,264,398
img_0773,train/images/img_0773.jpg,640,640,3,Sage,388,283,417,387
img_2164,train/images/img_2164.jpg,640,640,3,Sage,17,279,103,526
img_2164,train/images/img_2164.jpg,640,640,3,Jett,341,304,352,361
img_1445,train/images/img_1445.jpg,640,640,3,Jett,223,190,311,639
img_0983,train/images/img_0983.jpg,640,640,3,Sage,404,307,433,411
img_1323,train/images/img_1323.jpg,640,640,3,Brimstone,161,153,191,264
img_1337,train/images/img_1337.jpg,640,640,3,Phoenix,304,289,326,356
img_0029,train/images/img_0029.jpg,640,640,3,Jett,269,309,304,418
img_0029,train/images/img_0029.jpg,640,640,3,Sage,347,83,433,460
img_2158,train/images/img_2158.jpg,640,640,3,Sage,348,300,433,539
img_1321,train/images/img_1321.jpg,640,640,3,Phoenix,177,214,214,356
img_2628,train/images/img_2628.jpg,640,640,3,Phoenix,305,258,337,388
img_0981,train/images/img_0981.jpg,640,640,3,Jett,202,289,244,445
img_0759,train/images/img_0759.jpg,640,640,3,Phoenix,143,269,297,555
img_0995,train/images/img_0995.jpg,640,640,3,Sage,381,295,406,399
img_1335,train/images/img_1335.jpg,640,640,3,Brimstone,425,171,459,275
img_2614,train/images/img_2614.jpg,640,640,3,Phoenix,350,224,364,299
img_0003,train/images/img_0003.jpg,640,640,3,Brimstone,299,290,321,380
img_0765,train/images/img_0765.jpg,640,640,3,Phoenix,262,339,319,525
img_0765,train/images/img_0765.jpg,640,640,3,Jett,291,316,320,378
